Edad Simple;Provincias;Sexo;Periodo;Total
Total;02 Albacete;Ambos sexos;1 de enero de 2020;389.830
Total;03 Alicante/Alacant;Ambos sexos;1 de enero de 2020;1.885.214
Total;04 Almería;Ambos sexos;1 de enero de 2020;715.406
Total;01 Araba/Álava;Ambos sexos;1 de enero de 2020;329.857
Total;33 Asturias;Ambos sexos;1 de enero de 2020;1.018.775
Total;05 Ávila;Ambos sexos;1 de enero de 2020;158.930
Total;06 Badajoz;Ambos sexos;1 de enero de 2020;670.782
Total;07 Balears, Illes;Ambos sexos;1 de enero de 2020;1.210.750
Total;08 Barcelona;Ambos sexos;1 de enero de 2020;5.635.043
Total;48 Bizkaia;Ambos sexos;1 de enero de 2020;1.142.923
Total;09 Burgos;Ambos sexos;1 de enero de 2020;355.777
Total;10 Cáceres;Ambos sexos;1 de enero de 2020;390.986
Total;11 Cádiz;Ambos sexos;1 de enero de 2020;1.254.628
Total;39 Cantabria;Ambos sexos;1 de enero de 2020;582.357
Total;12 Castellón/Castelló;Ambos sexos;1 de enero de 2020;574.900
Total;13 Ciudad Real;Ambos sexos;1 de enero de 2020;494.128
Total;14 Córdoba;Ambos sexos;1 de enero de 2020;784.256
Total;15 Coruña, A;Ambos sexos;1 de enero de 2020;1.123.480
Total;16 Cuenca;Ambos sexos;1 de enero de 2020;199.828
Total;20 Gipuzkoa;Ambos sexos;1 de enero de 2020;716.530
Total;17 Girona;Ambos sexos;1 de enero de 2020;767.119
Total;18 Granada;Ambos sexos;1 de enero de 2020;925.059
Total;19 Guadalajara;Ambos sexos;1 de enero de 2020;262.403
Total;21 Huelva;Ambos sexos;1 de enero de 2020;528.059
Total;22 Huesca;Ambos sexos;1 de enero de 2020;220.657
Total;23 Jaén;Ambos sexos;1 de enero de 2020;628.841
Total;24 León;Ambos sexos;1 de enero de 2020;459.141
Total;25 Lleida;Ambos sexos;1 de enero de 2020;435.607
Total;27 Lugo;Ambos sexos;1 de enero de 2020;328.153
Total;28 Madrid;Ambos sexos;1 de enero de 2020;6.747.425
Total;29 Málaga;Ambos sexos;1 de enero de 2020;1.683.271
Total;30 Murcia;Ambos sexos;1 de enero de 2020;1.504.607
Total;31 Navarra;Ambos sexos;1 de enero de 2020;656.487
Total;32 Ourense;Ambos sexos;1 de enero de 2020;306.802
Total;34 Palencia;Ambos sexos;1 de enero de 2020;159.846
Total;35 Palmas, Las;Ambos sexos;1 de enero de 2020;1.151.352
Total;36 Pontevedra;Ambos sexos;1 de enero de 2020;943.809
Total;26 Rioja, La;Ambos sexos;1 de enero de 2020;315.926
Total;37 Salamanca;Ambos sexos;1 de enero de 2020;331.048
Total;38 Santa Cruz de Tenerife;Ambos sexos;1 de enero de 2020;1.085.958
Total;40 Segovia;Ambos sexos;1 de enero de 2020;154.228
Total;41 Sevilla;Ambos sexos;1 de enero de 2020;1.957.197
Total;42 Soria;Ambos sexos;1 de enero de 2020;89.912
Total;43 Tarragona;Ambos sexos;1 de enero de 2020;814.300
Total;44 Teruel;Ambos sexos;1 de enero de 2020;133.291
Total;45 Toledo;Ambos sexos;1 de enero de 2020;699.195
Total;46 Valencia/València;Ambos sexos;1 de enero de 2020;2.568.536
Total;47 Valladolid;Ambos sexos;1 de enero de 2020;520.716
Total;49 Zamora;Ambos sexos;1 de enero de 2020;171.630
Total;50 Zaragoza;Ambos sexos;1 de enero de 2020;976.498
Total;51 Ceuta;Ambos sexos;1 de enero de 2020;84.032
Total;52 Melilla;Ambos sexos;1 de enero de 2020;84.496
