Link;Rank;Title;Artist/s;Streams
https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI;1;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;6.491.227
https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh;2;Astronaut In The Ocean;Masked Wolf;4.227.059
https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS;3;drivers license;Olivia Rodrigo;4.109.466
https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B;4;telepatía;Kali Uchis;4.066.371
https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g;5;Save Your Tears;The Weeknd;3.754.384
https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5;6;Hold On;Justin Bieber;3.615.981
https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh;7;Leave The Door Open;Bruno Mars, Anderson .Paak, Silk Sonic;3.397.585
https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp;8;Heartbreak Anniversary;Giveon;3.150.419
https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b;9;Blinding Lights;The Weeknd;3.054.495
https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49;10;DÁKITI;Bad Bunny, Jhay Cortez;2.919.539
https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN;11;The Business;Tiësto;2.733.611
https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF;12;Levitating (feat. DaBaby);Dua Lipa;2.692.865
https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi;13;Up;Cardi B;2.595.757
https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J;14;As I Am (feat. Khalid);Justin Bieber;2.515.311
https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA;15;WITHOUT YOU;The Kid LAROI;2.419.706
https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx;16;Calling My Phone;Lil Tjay, 6LACK;2.404.368
