"rank","title","growth..30.days.","price","X5.star.ratings","X4.star.ratings","X3.star.ratings","X2.star.ratings","X1.star.ratings","category_num2","int_installs"
49,"Zombie Catchers - love the hunt!",2,0,1302473,180457,92856,40988,120740,1,1e+08
50,"Into the Dead",0.2,0,1304290,207310,77538,26901,92032,1,5e+07
52,"Modern Strike Online: Free PvP FPS shooting game",1.1,0,1198546,140286,74131,40275,147794,1,5e+07
56,"Archero",1.2,0,1071149,206983,87195,34301,115098,1,5e+07
59,"DINO HUNTER: DEADLY SHORES",0.1,0,1095921,179535,80175,29311,107180,1,5e+07
60,"DEAD TRIGGER - Offline Zombie Shooter",0.2,0,1101314,188833,80890,27732,77843,1,1e+07
61,"Johnny Trigger - Action Shooting Game",1.8,0,1072395,139566,73663,34742,97832,1,1e+08
62,"PPSSPP - PSP emulator",1,0,1010261,134117,67153,33167,125878,1,1e+08
63,"Robbery Bob",2,0,990050,88465,56207,35825,124820,1,1e+08
64,"Hide Online - Hunters vs Props",1.1,0,975386,121614,58603,26064,87039,1,5e+07
65,"Soul Knight",1.5,0,966279,139698,55097,22321,70406,1,5e+07
66,"Creative Destruction",0.8,0,878737,104960,59904,34640,160571,1,1e+07
67,"aquapark.io",1.2,0,796909,123482,78967,49174,175839,1,1e+08
68,"Bomber Friends",0.7,0,850596,130904,72537,35699,116012,1,5e+07
69,"Anger of stick 5 : zombie",1.8,0,888793,100798,60028,34751,116630,1,1e+08
70,"Modern Sniper",0.3,0,774203,124707,92187,46678,152006,1,5e+07
71,"DRAGON BALL LEGENDS",1.9,0,796378,119092,52261,26135,177593,1,1e+07
72,"Nebulous.io",0.4,0,818030,124799,69912,32042,114232,1,5e+07
73,"War Machines: Tank Battle - Army & Military Games",1.5,0,675581,172859,94142,45682,146557,1,1e+08
75,"Sea Battle 2",2.1,0,877180,141143,41513,11915,27149,1,1e+07
76,"DRAGON BALL Z DOKKAN BATTLE",0.7,0,795246,114985,39102,17818,89856,1,1e+07
78,"Angry Gran Run - Running Game",0.1,0,771626,98475,60893,24031,80898,1,5e+07
80,"Deer Hunter 2018",0,0,639683,120437,62570,33042,166601,1,5e+07
81,"Rope Hero: Vice Town",2.5,0,720898,73748,50810,34656,131751,1,1e+08
82,"Sniper Fury: Online 3D FPS & Sniper Shooter Game",0.1,0,637973,121993,61346,31183,155776,1,5e+07
83,"FRONTLINE COMMANDO 2",0,0,715952,147189,62085,19024,53721,1,1e+07
84,"Battlelands Royale",0.4,0,609541,123211,73097,39214,141981,1,1e+07
86,"Real Gangster Crime",2.9,0,653656,70047,48180,35763,132909,1,1e+08
87,"Legacy of Discord-FuriousWings",0.1,0,624684,101141,56461,30943,120224,1,1e+07
88,"BombSquad",0.7,0,651347,95352,49355,22598,75872,1,1e+07
90,"PUBG MOBILE VN – GRAFFITI PRANK",1.2,0,618177,72167,36063,20444,132076,1,1e+07
91,"Crisis Action: 5th Anniversary",0.1,0,551341,68587,58098,33898,161964,1,1e+07
92,"Hitman Sniper",0.3,0.99,607502,115334,48040,19224,58729,1,1e+07
93,"Miraculous Ladybug & Cat Noir",2.6,0,610132,62809,35805,23217,88115,1,1e+08
94,"Beat the Boss 3",0,0,626256,79461,43472,13250,47353,1,1e+07
95,"Flippy Knife",0.3,0,509210,119257,67002,29864,76543,1,1e+07
96,"BLOOD & GLORY",0,0,487636,76830,33821,18264,183249,1,1e+07
97,"Bus Rush",0.1,0,565576,79649,51686,22644,79179,1,1e+08
98,"Injustice 2",0.8,0,530371,103622,49763,25205,89758,1,1e+07
100,"NARUTO X BORUTO NINJA VOLTAGE",2.5,0,521328,70548,45060,25717,114300,1,1e+07
9,"BADLAND",0.1,0,1212289,175725,73532,29091,91730,2,1e+07
10,"Ice Age Adventures",0.1,0,947480,176433,110609,52804,145096,2,5e+07
12,"Clumsy Ninja",0.1,0,933667,117128,62485,30153,136071,2,1e+07
13,"The Walking Dead: Season One",0.1,0,990679,103781,57414,27458,96889,2,1e+07
14,"Benji Bananas",0.1,0,850589,129736,74870,25709,81035,2,5e+07
15,"KIM KARDASHIAN: HOLLYWOOD",0.1,0,755487,138999,70609,31379,98079,2,1e+07
16,"Hidden City: Hidden Object Adventure",0.3,0,662101,230824,100375,26908,41965,2,1e+07
17,"Family Guy The Quest for Stuff",0,0,588610,125854,79653,49039,164496,2,1e+07
