Zonas de movilidad;Periodo;Total
Almería;20/6/2020;15,15
Almería;19/6/2020;16,91
Almería;18/6/2020;16,83
Almería;17/6/2020;16,90
Almería;16/6/2020;16,64
Almería;15/6/2020;16,43
Almería;14/6/2020;12,79
Almería;13/6/2020;14,91
Almería;12/6/2020;15,89
Almería;11/6/2020;16,78
Almería;10/6/2020;16,76
Almería;9/6/2020;13,90
Almería;8/6/2020;14,60
Almería;7/6/2020;11,04
Almería;6/6/2020;14,02
Almería;5/6/2020;16,23
Almería;4/6/2020;16,10
Almería;3/6/2020;15,98
Almería;2/6/2020;16,00
Almería;1/6/2020;15,05
Almería;31/5/2020;10,75
Almería;30/5/2020;13,33
Almería;29/5/2020;15,50
Almería;28/5/2020;15,44
Almería;27/5/2020;15,31
Almería;26/5/2020;15,24
Almería;25/5/2020;14,70
Almería;24/5/2020;9,68
Almería;23/5/2020;12,09
Almería;22/5/2020;14,76
Almería;21/5/2020;14,48
Almería;20/5/2020;14,62
Almería;19/5/2020;14,28
Almería;18/5/2020;13,62
Almería;17/5/2020;8,45
Almería;16/5/2020;10,99
Almería;15/5/2020;13,60
Almería;14/5/2020;13,75
Almería;13/5/2020;13,87
Almería;12/5/2020;13,99
Almería;11/5/2020;12,99
Almería;10/5/2020;5,30
Almería;9/5/2020;7,14
Almería;8/5/2020;12,03
Almería;7/5/2020;11,68
Almería;6/5/2020;11,60
Almería;5/5/2020;12,20
Almería;4/5/2020;11,45
Almería;3/5/2020;5,35
Almería;2/5/2020;7,43
Almería;1/5/2020;6,66
Almería;30/4/2020;11,24
Almería;29/4/2020;11,00
Almería;28/4/2020;10,91
Almería;27/4/2020;10,26
Almería;26/4/2020;4,50
Almería;25/4/2020;7,09
Almería;24/4/2020;10,61
Almería;23/4/2020;10,57
Almería;22/4/2020;10,82
Almería;21/4/2020;10,60
Almería;20/4/2020;9,97
Almería;19/4/2020;4,33
Almería;18/4/2020;7,24
Almería;17/4/2020;10,41
Almería;16/4/2020;10,67
Almería;15/4/2020;10,05
Almería;14/4/2020;10,61
Almería;13/4/2020;8,88
Almería;12/4/2020;4,19
Almería;11/4/2020;6,25
Almería;10/4/2020;4,51
Almería;9/4/2020;6,29
Almería;8/4/2020;9,32
Almería;7/4/2020;9,36
Almería;6/4/2020;8,22
Almería;5/4/2020;4,10
